"rid","type","startId","endId","props"
"1152921504606846978","ns2__refersTo","2","1422","{}"
"1152923703630102531","ns2__hasUnit","3","1622","{}"
"1152921504606846980","ns2__refersTo","4","1354","{}"
"6931043125058077707","rdfs__subClassOf","4","1035","{}"
"1152921504606846982","ns2__refersTo","6","1534","{}"
"6931039826523194116","ns2__refersTo","7","772","{}"
"1152921504606846984","ns2__refersTo","8","627","{}"
"1159676904047902729","ns2__refersTo","9","2","{}"
"1157425104234217481","ns2__refersTo","9","6","{}"
"1164180503675273225","ns2__refersTo","9","76","{}"
"1177691302557384713","ns2__refersTo","9","106","{}"
"1155173304420532233","ns2__refersTo","9","416","{}"
"1175439502743699465","ns2__refersTo","9","487","{}"
"1152921504606846985","ns2__refersTo","9","856","{}"
"1161928703861587977","ns2__refersTo","9","875","{}"
"1168684103302643721","ns2__refersTo","9","902","{}"
"6937795225964250062","ns2__refersTo","9","974","{}"
"1170935903116328969","ns2__refersTo","9","1568","{}"
"1166432303488958473","ns2__refersTo","9","1787","{}"
"6922032627268453727","ns2__refersTo","10","1375","{}"
"1152924803141730314","rdfs__subClassOf","10","105","{}"
"1152921504606846987","ns2__refersTo","11","1742","{}"
"1152921504606846989","ns2__refersTo","13","1163","{}"
"6931039826523194012","ns2__refersTo","14","668","{}"
"1152921504606846991","ns2__refersTo","15","873","{}"
"1152929201188241424","rdfs__subPropertyOf","16","745","{}"
"6922032627268453866","ns2__refersTo","17","1514","{}"
"1152924803141730321","rdfs__subClassOf","17","870","{}"
"1152921504606846994","ns2__refersTo","18","510","{}"
"6924284427082138284","ns2__refersTo","19","684","{}"
"1152921504606846996","ns2__refersTo","20","479","{}"
"1152922604118474772","ns2__represents","20","1594","{}"
"1152921504606846997","ns2__refersTo","21","479","{}"
"1152922604118474773","ns2__represents","21","1595","{}"
"1152921504606846998","ns2__refersTo","22","479","{}"
"1152922604118474774","ns2__represents","22","1597","{}"
"1152921504606847000","ns2__refersTo","24","510","{}"
"1152921504606847001","ns2__refersTo","25","510","{}"
"6924284427082138810","ns2__refersTo","26","1210","{}"
"1152924803141730330","rdfs__subClassOf","26","1756","{}"
"1164180503675273243","ns2__refersTo","27","529","{}"
"1161928703861587995","ns2__refersTo","27","836","{}"
"1155173304420532251","ns2__refersTo","27","881","{}"
"1159676904047902747","ns2__refersTo","27","1456","{}"
"1152921504606847003","ns2__refersTo","27","1800","{}"
"6922032627268453321","ns2__refersTo","30","969","{}"
"1152924803141730334","rdfs__subClassOf","30","4","{}"
"1152921504606847007","ns2__refersTo","31","935","{}"
"1152921504606847008","ns2__refersTo","32","603","{}"
"1152921504606847010","ns2__refersTo","34","510","{}"
"1170935903116328996","ns2__refersTo","36","2","{}"
"1175439502743699492","ns2__refersTo","36","6","{}"
"1164180503675273252","ns2__refersTo","36","76","{}"
"1166432303488958500","ns2__refersTo","36","106","{}"
"1168684103302643748","ns2__refersTo","36","856","{}"
"1157425104234217508","ns2__refersTo","36","881","{}"
"1159676904047902756","ns2__refersTo","36","974","{}"
"1155173304420532260","ns2__refersTo","36","1181","{}"
"1152921504606847012","ns2__refersTo","36","1629","{}"
"1161928703861588004","ns2__refersTo","36","1800","{}"
"1152921504606847013","ns2__refersTo","37","694","{}"
"1164180503675273254","ns2__refersTo","38","2","{}"
"1159676904047902758","ns2__refersTo","38","6","{}"
"1161928703861588006","ns2__refersTo","38","76","{}"
"1170935903116328998","ns2__refersTo","38","106","{}"
"1155173304420532262","ns2__refersTo","38","304","{}"
"1152921504606847014","ns2__refersTo","38","856","{}"
"1157425104234217510","ns2__refersTo","38","974","{}"
"1166432303488958502","ns2__refersTo","38","1800","{}"
"1152921504606847015","ns2__refersTo","39","1214","{}"
"1152921504606847016","ns2__refersTo","40","1416","{}"
"1155179901490298921","ns2__hasPart","41","1440","{}"
"1157431701303984169","ns2__hasPart","41","1441","{}"
"1152928101676613673","ns2__hasPart","41","1819","{}"
"1152921504606847018","ns2__refersTo","42","479","{}"
"1152922604118474794","ns2__represents","42","137","{}"
"1152921504606847019","ns2__refersTo","43","603","{}"
"6922032627268453748","ns2__refersTo","44","1396","{}"
"1152924803141730348","rdfs__subClassOf","44","201","{}"
"1152921504606847021","ns2__refersTo","45","479","{}"
"1152922604118474797","ns2__represents","45","134","{}"
"1152921504606847022","ns2__refersTo","46","479","{}"
